,datetime,load_consumption
0,2024-01-18 00:07:25,21791.9
1,2024-01-18 00:12:25,21469.9
2,2024-01-18 00:17:24,21136.5
3,2024-01-18 00:22:24,19815.6
4,2024-01-18 00:27:24,19978.1
5,2024-01-18 00:32:25,19390.4
6,2024-01-18 00:37:24,19061.9
7,2024-01-18 00:42:24,18967.2
8,2024-01-18 00:47:23,18529.1
9,2024-01-18 00:52:23,17387.6
10,2024-01-18 00:57:23,17401.2
11,2024-01-18 01:02:23,18185.0
12,2024-01-18 01:07:22,17839.9
13,2024-01-18 01:12:22,18369.3
14,2024-01-18 01:17:22,27560.9
15,2024-01-18 01:22:22,24087.5
16,2024-01-18 01:27:22,23569.7
17,2024-01-18 01:32:22,26214.9
18,2024-01-18 01:37:21,24238.9
19,2024-01-18 01:42:21,23072.7
20,2024-01-18 01:47:21,25792.9
21,2024-01-18 01:52:21,24188.8
22,2024-01-18 01:57:21,22436.2
23,2024-01-18 02:02:21,23844.6
24,2024-01-18 02:07:21,24085.9
25,2024-01-18 02:12:21,21965.5
26,2024-01-18 02:17:21,21319.3
27,2024-01-18 02:22:21,22301.2
28,2024-01-18 02:27:20,19423.2
29,2024-01-18 02:32:20,21866.7
30,2024-01-18 02:37:20,19649.3
31,2024-01-18 02:42:20,20018.1
32,2024-01-18 02:47:19,22070.6
33,2024-01-18 02:52:19,19360.3
34,2024-01-18 02:57:19,19636.3
35,2024-01-18 03:02:19,22171.6
36,2024-01-18 03:07:19,19472.7
37,2024-01-18 03:12:19,18890.8
38,2024-01-18 03:17:19,21459.8
39,2024-01-18 03:22:19,19197.7
40,2024-01-18 03:27:18,19689.3
41,2024-01-18 03:32:18,20584.2
42,2024-01-18 03:37:18,18977.3
43,2024-01-18 03:42:19,20534.3
44,2024-01-18 03:47:18,18637.9
45,2024-01-18 03:52:18,18997.9
46,2024-01-18 03:57:17,20776.1
47,2024-01-18 04:02:17,20667.5
48,2024-01-18 04:07:17,18833.2
49,2024-01-18 04:12:17,19125.9
50,2024-01-18 04:17:16,19165.9
51,2024-01-18 04:22:16,19201.1
52,2024-01-18 04:27:16,20490.4
53,2024-01-18 04:32:16,19611.4
54,2024-01-18 04:37:16,19644.5
55,2024-01-18 04:42:16,21344.9
56,2024-01-18 04:47:15,19382.9
57,2024-01-18 04:52:15,19355.2
58,2024-01-18 04:57:15,20196.5
59,2024-01-18 05:02:15,19936.0
60,2024-01-18 05:07:15,19292.8
